,<nil>,Apoptosis,Apoptosis -- Metastasis,Apoptosis -- Metastasis -- Proliferation,Apoptosis -- Proliferation,Metastasis,Metastasis -- Proliferation,Proliferation
17.3,0.915392,0.023105,0.000998,0.0,0.0,0.00257,0.000345,0.05759
17.4,0.91557,0.022554,0.000913,0.0,0.0,0.003149,0.0002,0.057615
17.5,0.915739,0.022403,0.001,0.0,0.0,0.003309,0.0002,0.057348
17.6,0.916302,0.021709,0.000824,0.0,0.0,0.003443,0.0002,0.057522
17.7,0.916542,0.021804,0.0008,0.0,0.0,0.003129,0.0002,0.057525
17.8,0.917504,0.021031,0.000954,0.0,0.0,0.00266,0.0002,0.057651
17.9,0.91755,0.02088,0.001,0.0,0.0,0.0026,0.000347,0.057623
18.0,0.917409,0.021184,0.000868,0.0,0.0,0.002691,0.0004,0.057449
18.1,0.91719,0.02142,0.000754,0.0,0.0,0.002646,0.0004,0.05759
18.2,0.91759,0.020981,0.0006,0.0,0.0,0.002767,0.0004,0.057662
18.3,0.91796,0.020785,0.0006,0.0,0.0,0.002455,0.000233,0.057967
18.4,0.918988,0.02028,0.0006,0.0,0.0,0.00206,0.0002,0.057872
18.5,0.91892,0.020365,0.0006,0.0,0.0,0.002,0.0002,0.057915
18.6,0.918673,0.020603,0.000334,0.0,0.0,0.002096,0.0002,0.058094
18.7,0.91867,0.020379,0.0002,0.0,0.0,0.0022,8.4e-05,0.058467
18.8,0.918347,0.020902,0.0002,0.0,0.0,0.0022,0.0,0.058351
18.9,0.918701,0.02063,0.000284,0.0,0.0,0.0022,0.0,0.058185
19.0,0.919132,0.020268,0.0004,0.0,0.0,0.0022,0.0,0.058
19.1,0.918574,0.020294,0.0004,0.0,0.0,0.0022,0.0,0.058532
19.2,0.919261,0.01962,0.0004,0.0,0.0,0.00208,0.0,0.058639
19.3,0.920512,0.019004,0.000406,0.0,0.0,0.001841,0.0,0.058236
19.4,0.921282,0.018457,0.0004,0.0,0.0,0.001742,0.000162,0.057957
19.5,0.920553,0.018739,0.0004,0.0,0.0,0.002108,0.0002,0.058
19.6,0.92017,0.018767,0.0004,0.0,0.0,0.00235,0.0002,0.058113
19.7,0.920569,0.018212,0.0004,0.0,0.0,0.0024,0.0002,0.058219
19.8,0.921819,0.017707,0.0004,0.0,0.0,0.002215,0.0002,0.057659
19.9,0.922181,0.017729,0.0004,0.0,0.0,0.0022,0.0002,0.05729
20.0,0.922031,0.017936,0.000356,0.0,0.0,0.002277,0.0002,0.0572
20.1,0.922257,0.017468,9.5e-05,0.0,0.0,0.0026,0.0002,0.05738
20.2,0.922853,0.016939,0.000153,0.0,0.0,0.002454,0.0002,0.0574
20.3,0.923486,0.016468,0.0,0.0,0.0,0.0026,0.0002,0.057246
20.4,0.923784,0.016225,0.0,0.0,0.0,0.0026,0.0002,0.057191
20.5,0.924107,0.015838,0.0,0.0,0.0,0.002539,0.0002,0.057316
20.6,0.924805,0.015644,0.0,0.0,0.0,0.002014,0.0002,0.057337
20.7,0.924954,0.015187,0.0,0.0,0.0,0.001764,0.0002,0.057895
20.8,0.925201,0.015083,0.0,0.0,0.0,0.001443,0.0002,0.058072
20.9,0.924954,0.014873,0.000173,0.0,0.0,0.0014,0.000129,0.058471
21.0,0.924861,0.014999,0.0002,0.0,0.0,0.001527,0.0,0.058413
21.1,0.924602,0.015095,0.000371,0.0,0.0,0.001531,0.0,0.0584
21.2,0.924867,0.014938,0.0002,0.0,0.0,0.0016,0.0,0.058395
21.3,0.925036,0.014815,0.0002,0.0,0.0,0.001549,0.0,0.0584
21.4,0.926111,0.013988,0.0002,0.0,0.0,0.001301,0.0,0.0584
21.5,0.926459,0.013681,0.0002,0.0,0.0,0.001201,0.0,0.05846
21.6,0.925877,0.014021,0.0002,0.0,0.0,0.0014,0.0,0.058502
21.7,0.926444,0.01345,0.000325,0.0,0.0,0.001381,0.0,0.0584
21.8,0.926682,0.013118,0.0004,0.0,0.0,0.0014,0.0,0.0584
21.9,0.926661,0.013086,0.0004,0.0,0.0,0.0014,0.0,0.058453
22.0,0.926474,0.012697,0.000386,0.0,0.0,0.001685,0.0,0.058759
22.1,0.926764,0.012343,0.000293,0.0,0.0,0.0018,0.0,0.0588
22.2,0.926971,0.011942,0.000538,0.0,0.0,0.001749,0.0,0.0588
22.3,0.92691,0.01189,0.000556,0.0,0.0,0.001844,0.0,0.0588
22.4,0.9271,0.011569,0.0004,0.0,0.0,0.002177,0.0,0.058754
22.5,0.928034,0.010803,0.0004,0.0,0.0,0.0022,0.0,0.058564
22.6,0.928875,0.010247,0.000324,0.0,0.0,0.00232,0.0,0.058234
22.7,0.929141,0.009859,0.0004,0.0,0.0,0.0022,0.0,0.0584
22.8,0.928656,0.010204,0.0004,0.0,0.0,0.0022,0.0,0.05854
22.9,0.928187,0.010293,0.0004,0.0,0.0,0.0022,0.0,0.05892
23.0,0.928171,0.010229,0.0004,0.0,0.0,0.0022,0.0,0.059
23.1,0.928164,0.010101,0.0004,0.0,0.0,0.0022,0.0,0.059135
23.2,0.928617,0.009776,0.000398,0.0,0.0,0.002009,0.0,0.0592
23.3,0.928929,0.009688,0.0002,0.0,0.0,0.002088,0.0,0.059095
23.4,0.929084,0.009271,0.0002,0.0,0.0,0.002128,0.0,0.059318
23.5,0.929687,0.008859,0.0002,0.0,0.0,0.001854,0.0,0.0594
23.6,0.930079,0.008521,0.0002,0.0,0.0,0.0018,0.0,0.0594
23.7,0.930034,0.008566,0.0002,0.0,0.0,0.0018,0.0,0.0594
23.8,0.929389,0.009186,7.5e-05,0.0,0.0,0.001852,0.0,0.059498
23.9,0.929188,0.009412,0.0,0.0,0.0,0.0018,0.0,0.0596
24.0,0.929146,0.009374,8e-05,0.0,0.0,0.0018,0.0,0.0596
24.1,0.929454,0.008971,0.0002,0.0,0.0,0.001775,0.0,0.0596
24.2,0.929554,0.0088,0.0002,0.0,0.0,0.001732,0.0,0.059714
24.3,0.929433,0.008767,0.0002,0.0,0.0,0.0018,0.0,0.0598
24.4,0.929126,0.008885,0.000355,0.0,0.0,0.0018,0.0,0.059834
24.5,0.929089,0.008711,0.0004,0.0,0.0,0.0018,0.0,0.06
24.6,0.928814,0.009238,0.000149,0.0,0.0,0.001798,0.0,0.06
24.7,0.928716,0.009484,0.0,0.0,0.0,0.0018,0.0,0.06
24.8,0.929503,0.008701,6.5e-05,0.0,0.0,0.001735,0.0,0.059996
24.9,0.930281,0.008111,0.0002,0.0,0.0,0.0016,0.000112,0.059697
25.0,0.930336,0.008137,0.0002,0.0,0.0,0.001527,0.0002,0.0596
25.1,0.931063,0.007677,0.0002,0.0,0.0,0.00126,0.0002,0.0596
25.2,0.931732,0.007258,0.0002,0.0,0.0,0.0012,0.0002,0.05941
25.3,0.931833,0.007071,0.0002,0.0,0.0,0.001159,0.000241,0.059496
25.4,0.932014,0.006899,0.0002,0.0,0.0,0.000943,0.0004,0.059544
25.5,0.932164,0.00694,0.000195,0.0,0.0,0.000701,0.0004,0.0596
25.6,0.932074,0.007,0.0,0.0,0.0,0.0006,0.0004,0.059926
25.7,0.932,0.006892,0.000108,0.0,0.0,0.0006,0.0004,0.06
25.8,0.931991,0.006667,0.0002,0.0,0.0,0.0006,0.0004,0.060142
25.9,0.932046,0.006554,0.0002,0.0,0.0,0.0006,0.0004,0.0602
26.0,0.931924,0.006546,0.0002,0.0,0.0,0.0006,0.0004,0.060331
26.1,0.931815,0.006585,0.0002,0.0,0.0,0.0006,0.0004,0.0604
26.2,0.931773,0.006444,0.0002,0.0,0.0,0.00048,0.0004,0.060703
26.3,0.932031,0.006243,0.0002,0.0,0.0,0.0004,0.0004,0.060725
26.4,0.932223,0.005863,0.0002,0.0,0.0,0.0004,0.0004,0.060914
26.5,0.93233,0.00567,0.0002,0.0,0.0,0.0004,0.0004,0.061
26.6,0.93204,0.00596,0.0002,0.0,0.0,0.0004,0.0004,0.061
26.7,0.931628,0.00618,0.0002,0.0,0.0,0.000562,0.0004,0.06103
26.8,0.9314,0.0062,0.0002,0.0,0.0,0.0006,0.0004,0.0612
26.9,0.931328,0.006272,0.0002,0.0,0.0,0.0006,0.0004,0.0612
